Rank,Name,Country,Office,City,Lat,Lng
13,Louis Raphaël I Sako,Iraq,"Patriarch of Baghdad
(Chaldean Church)",Baghdad,33.3061701,44.3872213
75,Raymond Leo Burke,United States,Patron emeritus of the Sovereign Military Order of Malta,Malta,42.9711708,-73.792926
124,John Dew,New Zealand,Archbishop emeritus of Wellington,Wellington,-41.2887953,174.7772114
109,Gerhard Ludwig Müller,Germany,Prefect emeritus of the Congregation for the Doctrine of the Faith,,51.1638175,10.4478313
231,Marcello Semeraro,Italy,Prefect of the Dicastery for the Causes of Saints[d],,42.6384261,12.674297
171,Wilton Daniel Gregory,United States,Archbishop emeritus of Washington,Washington DC,38.8950368,-77.0365427
116,Mario Aurelio Poli,Argentina,Archbishop emeritus of Buenos Aires,Buenos Aires,-34.6083696,-58.4440583
83,Malcolm Ranjith,Sri Lanka,Archbishop of Colombo,Colombo,6.9388614,79.8542005
221,Kevin Farrell,United States[v],"Prefect of the Dicastery for the Laity, Family and Life[d] and Camerlengo of the Holy Roman Church",,39.7837304,-100.445882
166,Álvaro Leonel Ramazzini Imeri,Guatemala,Bishop of Huehuetenango,Huehuetenango,15.606418,-91.6442217
144,Jozef De Kesel,Belgium,Archbishop emeritus of Mechelen–Brussels,Brussels,50.8465573,4.351697
156,António Marto,Portugal,Bishop emeritus of Leiria–Fátima,Leiria,39.7437902,-8.8071119
91,João Braz de Aviz,Brazil,Prefect emeritus of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,,-10.3333333,-53.2
99,Giuseppe Betori,Italy,Archbishop emeritus of Florence,Florence,43.7697955,11.2556404
243,Emil Paul Tscherrig,Switzerland,Apostolic Nuncio emeritus to Italy and San Marino,San Marino,47.6689772,8.6128703
96,Thomas Collins,Canada,Archbishop emeritus of Toronto,Toronto,43.6534817,-79.3839347
228,Michael Czerny SJ,Canada[y],Prefect of the Dicastery for Promoting Integral Human Development[d],,61.0666922,-107.991707
130,Francesco Montenegro,Italy,Archbishop emeritus of Agrigento,Agrigento,37.3122991,13.57465
150,Juan José Omella,Spain,Archbishop of Barcelona,Barcelona,41.3828939,2.1774322
8,Fernando Filoni,Italy,Grand Master of the Order of the Holy Sepulchre,,42.6384261,12.674297
244,Christophe Pierre,France,Apostolic Nuncio to the United States,,46.603354,1.8883335
220,Mario Zenari,Italy,Apostolic Nuncio to Syria,,42.6384261,12.674297
71,John Njue,Kenya,Archbishop emeritus of Nairobi,Nairobi,-1.3026148,36.828842
119,Philippe Ouédraogo,Burkina Faso,Archbishop emeritus of Ouagadougou,Ouagadogou,12.306434,-1.506361
113,Jean-Pierre Kutwa,Ivory Coast,Archbishop emeritus of Abidjan,Abidjan,5.320357,-4.016107
110,Vincent Nichols,United Kingdom,Archbishop of Westminster,Westminster,51.5004439,-0.1265398
54,Antonio Cañizares Llovera,Spain,Archbishop emeritus of Valencia,Valencia,39.4697065,-0.3763353
23,Vinko Puljić,Bosnia and Herzegovina,Archbishop emeritus of Vrhbosna,Vrhbosna,44.25,17.83333
250,Timothy Radcliffe OP,United Kingdom,Master emeritus of the Order of Preachers,,54.7023545,-3.2765753
155,Joseph Coutts,Pakistan,Archbishop emeritus of Karachi,Karachi,24.8546842,67.0207055
60,Stanisław Ryłko,Poland,Archpriest of the Papal Basilica of Saint Mary Major,,52.215933,19.134422
73,Robert Sarah,Guinea,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,,10.7226226,-10.7083587
139,Carlos Osoro Sierra,Spain,Archbishop emeritus of Madrid,Madrid,40.4167047,-3.7035825
