Rank,Name,Country,Office,City,Lat,Lng,DistanceToVatican,CardinalLabel
114,Orani João Tempesta OCist,Brazil,Archbishop of São Sebastião do Rio de Janeiro,Rio de Janeiro,-22.9110137,-43.2093727,9178.87,Cardinal Orani João Tempesta OCist: Archbishop of São Sebastião do Rio de Janeiro
76,Kurt Koch,Switzerland,Prefect of the Dicastery for Promoting Christian Unity[d],Switzerland,46.7985624,8.2319736,639.48,Cardinal Kurt Koch: Prefect of the Dicastery for Promoting Christian Unity[d]
203,Carlos Castillo Mattasoglio,Peru,Archbishop of Lima,Lima,-12.0621065,-77.0365256,10854.85,Cardinal Carlos Castillo Mattasoglio: Archbishop of Lima
100,Timothy M. Dolan,United States,Archbishop of New York,New York,40.7127281,-74.0060152,6904.52,Cardinal Timothy M. Dolan: Archbishop of New York
82,Kazimierz Nycz,Poland,Archbishop emeritus of Warsaw,Warsaw,52.2319581,21.0067249,1317.26,Cardinal Kazimierz Nycz: Archbishop emeritus of Warsaw
146,Carlos Aguiar Retes,Mexico,Archbishop of Mexico,Mexico City,19.4326296,-99.1331785,10253.64,Cardinal Carlos Aguiar Retes: Archbishop of Mexico
134,Arlindo Gomes Furtado,Cape Verde,Bishop of Santiago de Cabo Verde,Santiago de Cabo Verde,14.9171577,-23.4902584,4562.67,Cardinal Arlindo Gomes Furtado: Bishop of Santiago de Cabo Verde
151,Anders Arborelius OCD,Sweden,Bishop of Stockholm,Stockholm,59.3251172,18.0710935,1976.69,Cardinal Anders Arborelius OCD: Bishop of Stockholm
70,Odilo Scherer,Brazil,Archbishop of São Paulo,Sao Paulo,-23.5506507,-46.6333824,9455.35,Cardinal Odilo Scherer: Archbishop of São Paulo
129,Kriengsak Kovitvanit,Thailand,Archbishop emeritus of Bangkok,Bangkok,13.7524938,100.4935089,8842.27,Cardinal Kriengsak Kovitvanit: Archbishop emeritus of Bangkok
69,Daniel DiNardo,United States,Archbishop emeritus of Galveston–Houston,Houston,29.7589382,-95.3676974,9172.1,Cardinal Daniel DiNardo: Archbishop emeritus of Galveston–Houston
46,Josip Bozanić,Croatia,Archbishop emeritus of Zagreb,Zagreb,45.8130967,15.9772795,518.55,Cardinal Josip Bozanić: Archbishop emeritus of Zagreb
141,Blase J. Cupich,United States,Archbishop of Chicago,Chicago,41.8755616,-87.6244212,7757.31,Cardinal Blase J. Cupich: Archbishop of Chicago
111,Leopoldo Brenes,Nicaragua,Archbishop of Managua,Managua,12.1544035,-86.2737642,9826.59,Cardinal Leopoldo Brenes: Archbishop of Managua
160,Thomas Aquino Manyo Maeda,Japan,Archbishop of Osaka–Takamatsu,Osaka,34.6937569,135.5014539,9733.82,Cardinal Thomas Aquino Manyo Maeda: Archbishop of Osaka–Takamatsu
68,Francisco Robles Ortega,Mexico,Archbishop of Guadalajara,Guadalajara,20.6720375,-103.338396,10453.59,Cardinal Francisco Robles Ortega: Archbishop of Guadalajara
128,Charles Maung Bo SDB,Myanmar,Archbishop of Yangon,Yangon,16.7967129,96.1609916,8269.5,Cardinal Charles Maung Bo SDB: Archbishop of Yangon
45,Peter Turkson,Ghana,Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences,Ghana,8.0300284,-1.0800271,3982.32,Cardinal Peter Turkson: Chancellor of the Pontifical Academy of Sciences and the Pontifical Academy of Social Sciences
159,Giuseppe Petrocchi,Italy,Archbishop emeritus of L'Aquila,L’Aquila,42.1368853,13.610341,99.28,Cardinal Giuseppe Petrocchi: Archbishop emeritus of L'Aquila
122,Manuel Clemente,Portugal,Patriarch emeritus of Lisbon,Lisbon,38.7077507,-9.1365919,1864.16,Cardinal Manuel Clemente: Patriarch emeritus of Lisbon
123,Berhaneyesus Demerew Souraphiel CM,Ethiopia,"Archbishop of Addis Abeba
(Ethiopian Church)",Addis Abeba,9.0,38.75,4464.74,"Cardinal Berhaneyesus Demerew Souraphiel CM: Archbishop of Addis Abeba
(Ethiopian Church)"
163,Juan García Rodríguez,Cuba,Archbishop of San Cristóbal de la Habana,Havana,23.135305,-82.3589631,8707.62,Cardinal Juan García Rodríguez: Archbishop of San Cristóbal de la Habana
13,Louis Raphaël I Sako,Iraq,"Patriarch of Baghdad
(Chaldean Church)",Baghdad,33.3061701,44.3872213,2956.74,"Cardinal Louis Raphaël I Sako: Patriarch of Baghdad
(Chaldean Church)"
75,Raymond Leo Burke,United States,Patron emeritus of the Sovereign Military Order of Malta,Malta,42.9711708,-73.792926,6756.2,Cardinal Raymond Leo Burke: Patron emeritus of the Sovereign Military Order of Malta
124,John Dew,New Zealand,Archbishop emeritus of Wellington,Wellington,-41.2887953,174.7772114,18549.84,Cardinal John Dew: Archbishop emeritus of Wellington
171,Wilton Daniel Gregory,United States,Archbishop emeritus of Washington,Washington DC,38.8950368,-77.0365427,7232.38,Cardinal Wilton Daniel Gregory: Archbishop emeritus of Washington
116,Mario Aurelio Poli,Argentina,Archbishop emeritus of Buenos Aires,Buenos Aires,-34.6083696,-58.4440583,11133.25,Cardinal Mario Aurelio Poli: Archbishop emeritus of Buenos Aires
83,Malcolm Ranjith,Sri Lanka,Archbishop of Colombo,Colombo,6.9388614,79.8542005,7632.25,Cardinal Malcolm Ranjith: Archbishop of Colombo
166,Álvaro Leonel Ramazzini Imeri,Guatemala,Bishop of Huehuetenango,Huehuetenango,15.606418,-91.6442217,9989.2,Cardinal Álvaro Leonel Ramazzini Imeri: Bishop of Huehuetenango
144,Jozef De Kesel,Belgium,Archbishop emeritus of Mechelen–Brussels,Brussels,50.8465573,4.351697,1171.82,Cardinal Jozef De Kesel: Archbishop emeritus of Mechelen–Brussels
156,António Marto,Portugal,Bishop emeritus of Leiria–Fátima,Leiria,39.7437902,-8.8071119,1804.75,Cardinal António Marto: Bishop emeritus of Leiria–Fátima
99,Giuseppe Betori,Italy,Archbishop emeritus of Florence,Florence,43.7697955,11.2556404,229.34,Cardinal Giuseppe Betori: Archbishop emeritus of Florence
243,Emil Paul Tscherrig,Switzerland,Apostolic Nuncio emeritus to Italy and San Marino,San Marino,47.6689772,8.6128703,708.97,Cardinal Emil Paul Tscherrig: Apostolic Nuncio emeritus to Italy and San Marino
96,Thomas Collins,Canada,Archbishop emeritus of Toronto,Toronto,43.6534817,-79.3839347,7096.9,Cardinal Thomas Collins: Archbishop emeritus of Toronto
130,Francesco Montenegro,Italy,Archbishop emeritus of Agrigento,Agrigento,37.3122991,13.57465,518.68,Cardinal Francesco Montenegro: Archbishop emeritus of Agrigento
150,Juan José Omella,Spain,Archbishop of Barcelona,Barcelona,41.3828939,2.1774322,857.54,Cardinal Juan José Omella: Archbishop of Barcelona
71,John Njue,Kenya,Archbishop emeritus of Nairobi,Nairobi,-1.2832533,36.8172449,5375.41,Cardinal John Njue: Archbishop emeritus of Nairobi
119,Philippe Ouédraogo,Burkina Faso,Archbishop emeritus of Ouagadougou,Ouagadogou,12.306434,-1.506361,3548.9,Cardinal Philippe Ouédraogo: Archbishop emeritus of Ouagadougou
113,Jean-Pierre Kutwa,Ivory Coast,Archbishop emeritus of Abidjan,Abidjan,5.320357,-4.016107,4369.36,Cardinal Jean-Pierre Kutwa: Archbishop emeritus of Abidjan
110,Vincent Nichols,United Kingdom,Archbishop of Westminster,Westminster,51.5004439,-0.1265398,1432.63,Cardinal Vincent Nichols: Archbishop of Westminster
54,Antonio Cañizares Llovera,Spain,Archbishop emeritus of Valencia,Valencia,39.4697065,-0.3763353,1116.49,Cardinal Antonio Cañizares Llovera: Archbishop emeritus of Valencia
23,Vinko Puljić,Bosnia and Herzegovina,Archbishop emeritus of Vrhbosna,Vrhbosna,44.25,17.83333,509.7,Cardinal Vinko Puljić: Archbishop emeritus of Vrhbosna
155,Joseph Coutts,Pakistan,Archbishop emeritus of Karachi,Karachi,24.8546842,67.0207055,5318.76,Cardinal Joseph Coutts: Archbishop emeritus of Karachi
73,Robert Sarah,Guinea,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,,10.7226226,-10.7083587,4127.86,Cardinal Robert Sarah: Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments
139,Carlos Osoro Sierra,Spain,Archbishop emeritus of Madrid,Madrid,40.4167047,-3.7035825,1364.03,Cardinal Carlos Osoro Sierra: Archbishop emeritus of Madrid
