Trip Number,Date,Country,Location,Details,Year,Latitude,Longitude
12,"August 26–27, 1959",USA,"Washington, DC",Start in DC,1959,38.9072,-77.0369
12,"August 26–27, 1959",West Germany,Bonn,Informal meeting with ChancellorKonrad Adenauerand PresidentTheodor Heuss.,1959,50.7842863,7.2605602
12,"August 27 –September 2, 1959",United Kingdom,London,Informal visit. Met Prime Minister Harold Macmillan and Queen Elizabeth II.,1959,51.5074456,-0.1277653
12,"August 27 –September 2, 1959",United Kingdom,Balmoral,Informal visit. Met Prime Minister Harold Macmillan and Queen Elizabeth II.,1959,57.0406914,-3.2301053
12,"August 27 –September 2, 1959",United Kingdom,Chequers,Informal visit. Met Prime Minister Harold Macmillan and Queen Elizabeth II.,1959,51.8533018,-2.2275661
12,"September 2–4, 1959",France,Paris,Informal meeting with PresidentCharles de Gaulleand Italian Prime MinisterAntonio Segni. AddressedNorth Atlantic Council.,1959,48.8588897,2.320041
12,"September 4–7, 1959",United Kingdom,Culzean Castle,Rested before returning to the United States.,1959,55.3546621,-4.7891586
13,"December 4–6, 1959",USA,"Washington, DC",Start in DC,1959,38.9072,-77.0369
13,"December 4–6, 1959",Italy,Rome,Informal visit. Met with PresidentGiovanni Gronchi.,1959,41.8933203,12.4829321
13,"December 6, 1959",Vatican City,Apostolic Palace,Audience withPope John XXIII.,1959,41.9032459,12.4551867
13,"December 6–7, 1959",Turkey,Ankara,Informal visit. Met with PresidentCelâl Bayar.,1959,39.9207759,32.8540497
13,"December 7–9, 1959",Pakistan,Karachi,Informal visit. Met with PresidentAyub Khan.,1959,24.8546842,67.0207055
13,"December 9, 1959",Afghanistan,Kabul,Informal visit. Met with KingMohammed Zahir Shah.,1959,34.5266431,69.1849082
13,"December 9–14, 1959",India,New Delhi,Met with PresidentRajendra Prasadand Prime MinisterJawaharlal Nehru. AddressedParliament.,1959,28.6430858,77.2192671
13,"December 9–14, 1959",India,Agra,Met with PresidentRajendra Prasadand Prime MinisterJawaharlal Nehru. AddressedParliament.,1959,27.1752554,78.0098161
13,"December 14, 1959",Iran,Tehran,Met with ShahMohammad Reza Pahlavi. AddressedParliament.,1959,35.6892523,51.3896004
13,"December 14–15, 1959",Greece,Athens,Official visit. Met with KingPauland Prime MinisterKonstantinos Karamanlis. AddressedParliament.,1959,37.9755648,23.7348324
13,"December 17, 1959",Tunisia,Tunis,Met with PresidentHabib Bourguiba.,1959,33.8439408,9.400138
13,"December 18–21, 1959",France,Toulon,"Conference with PresidentCharles de Gaulle, British Prime MinisterHarold Macmillanand West German ChancellorKonrad Adenauer.",1959,43.1257311,5.9304919
13,"December 18–21, 1959",France,Paris,"Conference with PresidentCharles de Gaulle, British Prime MinisterHarold Macmillanand West German ChancellorKonrad Adenauer.",1959,48.8588897,2.320041
13,"December 21–22, 1959",Spain,Madrid,Met with GeneralissimoFrancisco Franco.,1959,40.4167047,-3.7035825
13,"December 22, 1959",Morocco,Casablanca,Met with KingMohammed V.,1959,33.5945144,-7.6200284
14,"February 23–26, 1960",USA,"Washington, DC",Start in DC,1960,38.9072,-77.0369
14,"February 23–26, 1960",Brazil,Brasília,Met with PresidentJuscelino Kubitschek. AddressedBrazilian Congress.,1960,-10.3333333,-53.2
14,"February 23–26, 1960",Brazil,Rio de Janeiro,Met with PresidentJuscelino Kubitschek. AddressedBrazilian Congress.,1960,-22.9110137,-43.2093727
14,"February 23–26, 1960",Brazil,São Paulo,Met with PresidentJuscelino Kubitschek. AddressedBrazilian Congress.,1960,-23.5506507,-46.6333824
14,"February 26–29, 1960",Argentina,Buenos Aires,Met with PresidentArturo Frondizi.,1960,-34.6083696,-58.4440583
14,"February 26–29, 1960",Argentina,Mar del Plata,Met with PresidentArturo Frondizi.,1960,-37.9976168,-57.5482079
14,"February 26–29, 1960",Argentina,San Carlos de Bariloche,Met with PresidentArturo Frondizi.,1960,-41.1334781,-71.3101474
14,"February 29 –March 2, 1960",Chile,Santiago,Met with PresidentJorge Alessandri.,1960,-33.4377756,-70.6504502
14,"March 2–3, 1960",Uruguay,Montevideo,Met with PresidentBenito Nardone. Returned to the U.S. via Buenos Aires and Suriname.,1960,-34.9058916,-56.1913095
15,"May 15–19, 1960",USA,"Washington, DC",Start in DC,1960,38.9072,-77.0369
15,"May 15–19, 1960",France,Paris,"Conference with President Charles de Gaulle, British Prime Minister Harold Macmillan and Soviet PremierNikita Khrushchev.",1960,48.8588897,2.320041
15,"May 19–20, 1960",Portugal,Lisbon,Official visit. Met with PresidentAmérico Tomás.,1960,38.7077507,-9.1365919
16,"June 14–16, 1960",USA,"Washington, DC",Start in DC,1960,38.9072,-77.0369
16,"June 14–16, 1960",Philippines,Manila,State visit. Met with PresidentCarlos P. Garcia.,1960,14.5904492,120.9803621
16,"June 18–19, 1960",Republic of China(Formosa/Taiwan),Taipei,State visit. Met with PresidentChiang Kai-shek.,1960,25.04776,121.53185
16,"June 19–20, 1960",South Korea,Seoul,Met with Prime MinisterHeo Jeong. Addressed theNational Assembly.,1960,37.5666791,126.9782914
17,"October 24, 1960",USA,"Washington, DC",Start in DC,1960,38.9072,-77.0369
17,"October 24, 1960",Mexico,Ciudad Acuña,Informal visit. Met with President Adolfo López Mateos.,1960,29.3248796,-100.9322287
